,Ref_Date,month,year,GEO,AB,BC,MN,NB,NFLD,NS,ON,PEI,QC,SK,gasolineConsumption,CPI,gasPriceNom,labForce,unemp,ctaxNom,gasPerCap,gasPriceReal,cTaxReal,cTaxRealCents,ProvExcise,Excise_Real,Tax_ad_val,PIT,CIT,Inc_Nom,Inc_Real,CarbTax,Excise_RealBC,gasPriceRealBC
1,01/01/1990,1,1990,Alberta,1,0,0,0,0,0,0,0,0,0,335812,73.1,47.9,1871.6,6.9,0,179.4250908,65.52667579,0,0,5,6.83994528,0.104384134,2941,855,1406.939405,1924.677709,0,0,0
9,01/02/1990,2,1990,Alberta,1,0,0,0,0,0,0,0,0,0,333926,73.4,48.9,1874.2,6.7,0,178.1698858,66.62125341,0,0,5,6.811989101,0.102249489,2941,855,1406.939405,1916.811179,0,0,0
17,01/03/1990,3,1990,Alberta,1,0,0,0,0,0,0,0,0,0,356275,73.6,49.7,1876.9,6.5,0,189.8209814,67.52717391,0,0,5,6.793478261,0.100603622,2941,855,1406.939405,1911.602453,0,0,0
25,01/04/1990,4,1990,Alberta,1,0,0,0,0,0,0,0,0,0,341641,74.1,51.9,1880.5,6.7,0,181.6756182,70.04048583,0,0,5,6.747638327,0.096339114,2941,855,1406.939405,1898.703651,0,0,0
33,01/05/1990,5,1990,Alberta,1,0,0,0,0,0,0,0,0,0,394206,74.3,51.9,1883.5,6.7,0,209.2943987,69.85195155,0,0,7,9.421265141,0.134874759,2941,855,1406.939405,1893.592739,0,0,0
41,01/06/1990,6,1990,Alberta,1,0,0,0,0,0,0,0,0,0,392917,74.8,53.4,1887.1,6.2,0,208.2120714,71.39037433,0,0,7,9.35828877,0.131086142,2941,855,1406.939405,1880.935034,0,0,0
49,01/07/1990,7,1990,Alberta,1,0,0,0,0,0,0,0,0,0,427075,75.3,53,1891.8,6.7,0,225.7506079,70.38512616,0,0,7,9.296148738,0.132075472,2941,855,1406.939405,1868.445425,0,0,0
57,01/08/1990,8,1990,Alberta,1,0,0,0,0,0,0,0,0,0,494426,75.5,53.4,1895.5,6.6,0,260.8419942,70.72847682,0,0,7,9.271523179,0.131086142,2941,855,1406.939405,1863.495901,0,0,0
65,01/09/1990,9,1990,Alberta,1,0,0,0,0,0,0,0,0,0,397466,75.8,54.9,1898.8,7.2,0,209.3248367,72.42744063,0,0,7,9.234828496,0.127504554,2941,855,1406.939405,1856.120587,0,0,0
73,01/10/1990,10,1990,Alberta,1,0,0,0,0,0,0,0,0,0,412833,76.4,61.4,1902.9,7.4,0,216.949393,80.36649215,0,0,7,9.162303665,0.114006515,2941,855,1406.939405,1841.543724,0,0,0
81,01/11/1990,11,1990,Alberta,1,0,0,0,0,0,0,0,0,0,364294,76.8,62.8,1906,7.6,0,191.1301154,81.77083333,0,0,7,9.114583333,0.111464968,2941,855,1406.939405,1831.952351,0,0,0
89,01/12/1990,12,1990,Alberta,1,0,0,0,0,0,0,0,0,0,352184,76.7,60.6,1908.7,7.8,0,184.515115,79.00912647,0,0,7,9.126466754,0.115511551,2941,855,1406.939405,1834.340815,0,0,0
97,01/01/1991,1,1991,Alberta,1,0,0,0,0,0,0,0,0,0,314075,78.9,63.5,1912.3,7.7,0,164.2393976,80.48162231,0,0,7,8.871989861,0.11023622,3072,745,1442.827351,1828.678519,0,0,0
105,01/02/1991,2,1991,Alberta,1,0,0,0,0,0,0,0,0,0,280797,78.2,44.9,1914.7,7.5,0,146.6532616,57.4168798,0,0,7,8.95140665,0.155902004,3072,745,1442.827351,1845.047764,0,0,0
113,01/03/1991,3,1991,Alberta,1,0,0,0,0,0,0,0,0,0,312359,78.6,45.5,1917.3,8,0,162.9160799,57.88804071,0,0,7,8.905852417,0.153846154,3072,745,1442.827351,1835.658208,0,0,0
121,01/04/1991,4,1991,Alberta,1,0,0,0,0,0,0,0,0,0,360945,78.6,42.8,1920.6,7.9,0,187.9334583,54.45292621,0,0,7,8.905852417,0.163551402,3072,745,1442.827351,1835.658208,0,0,0
129,01/05/1991,5,1991,Alberta,1,0,0,0,0,0,0,0,0,0,364261,79.2,49.3,1923.8,8.2,0,189.3445265,62.24747475,0,0,9,11.36363636,0.182555781,3072,745,1442.827351,1821.751706,0,0,0
137,01/06/1991,6,1991,Alberta,1,0,0,0,0,0,0,0,0,0,347258,79.5,48.8,1927.2,8.3,0,180.1878373,61.3836478,0,0,9,11.32075472,0.18442623,3072,745,1442.827351,1814.877172,0,0,0
145,01/07/1991,7,1991,Alberta,1,0,0,0,0,0,0,0,0,0,409584,79.9,52.9,1930.7,8.3,0,212.1427462,66.2077597,0,0,9,11.2640801,0.170132325,3072,745,1442.827351,1805.791429,0,0,0
153,01/08/1991,8,1991,Alberta,1,0,0,0,0,0,0,0,0,0,400118,80,54.1,1932.8,8.1,0,207.0146937,67.625,0,0,9,11.25,0.166358595,3072,745,1442.827351,1803.534189,0,0,0
161,01/09/1991,9,1991,Alberta,1,0,0,0,0,0,0,0,0,0,371510,80,54.9,1935.4,8.4,0,191.9551514,68.625,0,0,9,11.25,0.163934426,3072,745,1442.827351,1803.534189,0,0,0
169,01/10/1991,10,1991,Alberta,1,0,0,0,0,0,0,0,0,0,377779,79.8,50.9,1937.3,8.5,0,195.002839,63.78446115,0,0,9,11.27819549,0.176817289,3072,745,1442.827351,1808.054325,0,0,0
177,01/11/1991,11,1991,Alberta,1,0,0,0,0,0,0,0,0,0,331651,80,48.7,1939.5,9,0,170.9981954,60.875,0,0,9,11.25,0.184804928,3072,745,1442.827351,1803.534189,0,0,0
185,01/12/1991,12,1991,Alberta,1,0,0,0,0,0,0,0,0,0,332784,79.6,49.6,1941.7,9.1,0,171.387959,62.31155779,0,0,9,11.30653266,0.181451613,3072,745,1442.827351,1812.597175,0,0,0
